g#m,8,11,8,11,-1
am,9,0,9,0,-1
a#m,10,1,10,1,-1
bm,11,2,11,2,-1
C,0,4,0,7,-1
C#,1,5,1,8,-1
D,2,6,2,9,-1
D#,3,7,3,10,-1
E,4,8,4,11,-1
F,5,9,5,0,-1
F#,6,10,6,1,-1
G,7,11,7,2,-1
G#,8,0,8,3,-1
A,9,1,9,4,-1
A#,10,2,10,5,-1
B,11,3,11,6,-1
cm,0,3,0,7,-1
c#m,1,4,1,8,-1
dm,2,5,2,9,-1
d#m,3,6,3,10,-1
em,4,7,4,11,-1
fm,5,8,5,0,-1
f#m,6,9,6,1,-1
gm,7,10,7,2,-1
g#m,8,11,8,3,-1
am,9,0,9,4,-1
a#m,10,1,10,5,-1
bm,11,2,11,6,-1
C,0,4,4,0,-1
C#,1,5,5,1,-1
D,2,6,6,2,-1
D#,3,7,7,3,-1
E,4,8,8,4,-1
F,5,9,9,5,-1
F#,6,10,10,6,-1
G,7,11,11,7,-1
G#,8,0,0,8,-1
A,9,1,1,9,-1
A#,10,2,2,10,-1
B,11,3,3,11,-1
cm,0,3,3,0,-1
c#m,1,4,4,1,-1
dm,2,5,5,2,-1
d#m,3,6,6,3,-1
em,4,7,7,4,-1
fm,5,8,8,5,-1
f#m,6,9,9,6,-1
gm,7,10,10,7,-1
g#m,8,11,11,8,-1
am,9,0,0,9,-1
a#m,10,1,1,10,-1
bm,11,2,2,11,-1
C,0,4,4,4,-1
C#,1,5,5,5,-1
D,2,6,6,6,-1
D#,3,7,7,7,-1
E,4,8,8,8,-1
F,5,9,9,9,-1
F#,6,10,10,10,-1
G,7,11,11,11,-1
G#,8,0,0,0,-1
A,9,1,1,1,-1
A#,10,2,2,2,-1
B,11,3,3,3,-1
cm,0,3,3,3,-1
c#m,1,4,4,4,-1
dm,2,5,5,5,-1
d#m,3,6,6,6,-1
em,4,7,7,7,-1
fm,5,8,8,8,-1
f#m,6,9,9,9,-1
gm,7,10,10,10,-1
g#m,8,11,11,11,-1
am,9,0,0,0,-1
a#m,10,1,1,1,-1
bm,11,2,2,2,-1
C,0,4,4,7,-1
C#,1,5,5,8,-1
D,2,6,6,9,-1
D#,3,7,7,10,-1
E,4,8,8,11,-1
F,5,9,9,0,-1
F#,6,10,10,1,-1
G,7,11,11,2,-1
G#,8,0,0,3,-1
A,9,1,1,4,-1
A#,10,2,2,5,-1
B,11,3,3,6,-1
cm,0,3,3,7,-1
c#m,1,4,4,8,-1
dm,2,5,5,9,-1
d#m,3,6,6,10,-1
em,4,7,7,11,-1
fm,5,8,8,0,-1
f#m,6,9,9,1,-1
gm,7,10,10,2,-1
g#m,8,11,11,3,-1
am,9,0,0,4,-1
a#m,10,1,1,5,-1
bm,11,2,2,6,-1
C,0,4,7,0,-1
C#,1,5,8,1,-1
D,2,6,9,2,-1
D#,3,7,10,3,-1
E,4,8,11,4,-1
F,5,9,0,5,-1
F#,6,10,1,6,-1
G,7,11,2,7,-1
G#,8,0,3,8,-1
A,9,1,4,9,-1
A#,10,2,5,10,-1
B,11,3,6,11,-1
cm,0,3,7,0,-1
c#m,1,4,8,1,-1
dm,2,5,9,2,-1
d#m,3,6,10,3,-1
em,4,7,11,4,-1
fm,5,8,0,5,-1
f#m,6,9,1,6,-1
gm,7,10,2,7,-1
g#m,8,11,3,8,-1
am,9,0,4,9,-1
a#m,10,1,5,10,-1
bm,11,2,6,11,-1
C,0,4,7,4,-1
C#,1,5,8,5,-1
D,2,6,9,6,-1
D#,3,7,10,7,-1
E,4,8,11,8,-1
F,5,9,0,9,-1
F#,6,10,1,10,-1
G,7,11,2,11,-1
G#,8,0,3,0,-1
A,9,1,4,1,-1
A#,10,2,5,2,-1
B,11,3,6,3,-1
cm,0,3,7,3,-1
c#m,1,4,8,4,-1
dm,2,5,9,5,-1
d#m,3,6,10,6,-1
em,4,7,11,7,-1
fm,5,8,0,8,-1
f#m,6,9,1,9,-1
gm,7,10,2,10,-1
g#m,8,11,3,11,-1
am,9,0,4,0,-1
a#m,10,1,5,1,-1
bm,11,2,6,2,-1
C,0,4,7,7,-1
C#,1,5,8,8,-1
D,2,6,9,9,-1
D#,3,7,10,10,-1
E,4,8,11,11,-1
F,5,9,0,0,-1
F#,6,10,1,1,-1
G,7,11,2,2,-1
G#,8,0,3,3,-1
A,9,1,4,4,-1
A#,10,2,5,5,-1
B,11,3,6,6,-1
cm,0,3,7,7,-1
c#m,1,4,8,8,-1
dm,2,5,9,9,-1
d#m,3,6,10,10,-1
em,4,7,11,11,-1
fm,5,8,0,0,-1
f#m,6,9,1,1,-1
gm,7,10,2,2,-1
g#m,8,11,3,3,-1
am,9,0,4,4,-1
a#m,10,1,5,5,-1
bm,11,2,6,6,-1
C,0,7,0,0,-1
C#,1,8,1,1,-1
D,2,9,2,2,-1
D#,3,10,3,3,-1
E,4,11,4,4,-1
F,5,0,5,5,-1
F#,6,1,6,6,-1
G,7,2,7,7,-1
G#,8,3,8,8,-1
A,9,4,9,9,-1
A#,10,5,10,10,-1
B,11,6,11,11,-1
cm,0,7,0,0,-1
c#m,1,8,1,1,-1
dm,2,9,2,2,-1
d#m,3,10,3,3,-1
em,4,11,4,4,-1
fm,5,0,5,5,-1
f#m,6,1,6,6,-1
gm,7,2,7,7,-1
g#m,8,3,8,8,-1
am,9,4,9,9,-1
a#m,10,5,10,10,-1
bm,11,6,11,11,-1
C,0,7,0,4,-1
C#,1,8,1,5,-1
D,2,9,2,6,-1
D#,3,10,3,7,-1
E,4,11,4,8,-1
F,5,0,5,9,-1
F#,6,1,6,10,-1
G,7,2,7,11,-1
G#,8,3,8,0,-1
A,9,4,9,1,-1
A#,10,5,10,2,-1
B,11,6,11,3,-1
cm,0,7,0,3,-1
c#m,1,8,1,4,-1
dm,2,9,2,5,-1
d#m,3,10,3,6,-1
em,4,11,4,7,-1
fm,5,0,5,8,-1
f#m,6,1,6,9,-1
gm,7,2,7,10,-1
g#m,8,3,8,11,-1
am,9,4,9,0,-1
a#m,10,5,10,1,-1
bm,11,6,11,2,-1
C,0,7,0,7,-1
C#,1,8,1,8,-1
D,2,9,2,9,-1
D#,3,10,3,10,-1
E,4,11,4,11,-1
F,5,0,5,0,-1
F#,6,1,6,1,-1
G,7,2,7,2,-1
G#,8,3,8,3,-1
A,9,4,9,4,-1
A#,10,5,10,5,-1
B,11,6,11,6,-1
cm,0,7,0,7,-1
c#m,1,8,1,8,-1
dm,2,9,2,9,-1
d#m,3,10,3,10,-1
em,4,11,4,11,-1
fm,5,0,5,0,-1
f#m,6,1,6,1,-1
gm,7,2,7,2,-1
g#m,8,3,8,3,-1
am,9,4,9,4,-1
a#m,10,5,10,5,-1
bm,11,6,11,6,-1
C,0,7,4,0,-1
C#,1,8,5,1,-1
D,2,9,6,2,-1
D#,3,10,7,3,-1
E,4,11,8,4,-1
F,5,0,9,5,-1
F#,6,1,10,6,-1
G,7,2,11,7,-1
G#,8,3,0,8,-1
A,9,4,1,9,-1
A#,10,5,2,10,-1
B,11,6,3,11,-1
cm,0,7,3,0,-1
c#m,1,8,4,1,-1
dm,2,9,5,2,-1
d#m,3,10,6,3,-1
em,4,11,7,4,-1
fm,5,0,8,5,-1
f#m,6,1,9,6,-1
gm,7,2,10,7,-1
g#m,8,3,11,8,-1
am,9,4,0,9,-1
a#m,10,5,1,10,-1
bm,11,6,2,11,-1
C,0,7,4,4,-1
C#,1,8,5,5,-1
D,2,9,6,6,-1
D#,3,10,7,7,-1
E,4,11,8,8,-1
F,5,0,9,9,-1
F#,6,1,10,10,-1
G,7,2,11,11,-1
G#,8,3,0,0,-1
A,9,4,1,1,-1
A#,10,5,2,2,-1
B,11,6,3,3,-1
cm,0,7,3,3,-1
c#m,1,8,4,4,-1
dm,2,9,5,5,-1
d#m,3,10,6,6,-1
em,4,11,7,7,-1
fm,5,0,8,8,-1
f#m,6,1,9,9,-1
gm,7,2,10,10,-1
g#m,8,3,11,11,-1
am,9,4,0,0,-1
a#m,10,5,1,1,-1
bm,11,6,2,2,-1
C,0,7,4,7,-1
C#,1,8,5,8,-1
D,2,9,6,9,-1
D#,3,10,7,10,-1
E,4,11,8,11,-1
F,5,0,9,0,-1
F#,6,1,10,1,-1
G,7,2,11,2,-1
G#,8,3,0,3,-1
A,9,4,1,4,-1
A#,10,5,2,5,-1
B,11,6,3,6,-1
cm,0,7,3,7,-1
c#m,1,8,4,8,-1
dm,2,9,5,9,-1
d#m,3,10,6,10,-1
em,4,11,7,11,-1
fm,5,0,8,0,-1
f#m,6,1,9,1,-1
gm,7,2,10,2,-1
g#m,8,3,11,3,-1
am,9,4,0,4,-1
a#m,10,5,1,5,-1
bm,11,6,2,6,-1
C,0,7,7,0,-1
C#,1,8,8,1,-1
D,2,9,9,2,-1
D#,3,10,10,3,-1
E,4,11,11,4,-1
F,5,0,0,5,-1
F#,6,1,1,6,-1
G,7,2,2,7,-1
G#,8,3,3,8,-1
A,9,4,4,9,-1
A#,10,5,5,10,-1
B,11,6,6,11,-1
cm,0,7,7,0,-1
c#m,1,8,8,1,-1
dm,2,9,9,2,-1
d#m,3,10,10,3,-1
em,4,11,11,4,-1
fm,5,0,0,5,-1
f#m,6,1,1,6,-1
gm,7,2,2,7,-1
g#m,8,3,3,8,-1
am,9,4,4,9,-1
a#m,10,5,5,10,-1
bm,11,6,6,11,-1
C,0,7,7,4,-1
C#,1,8,8,5,-1
D,2,9,9,6,-1
D#,3,10,10,7,-1
E,4,11,11,8,-1
F,5,0,0,9,-1
F#,6,1,1,10,-1
G,7,2,2,11,-1
G#,8,3,3,0,-1
A,9,4,4,1,-1
A#,10,5,5,2,-1
B,11,6,6,3,-1
cm,0,7,7,3,-1
c#m,1,8,8,4,-1
dm,2,9,9,5,-1
d#m,3,10,10,6,-1
em,4,11,11,7,-1
fm,5,0,0,8,-1
f#m,6,1,1,9,-1
gm,7,2,2,10,-1
g#m,8,3,3,11,-1
am,9,4,4,0,-1
a#m,10,5,5,1,-1
bm,11,6,6,2,-1
C,0,7,7,7,-1
C#,1,8,8,8,-1
D,2,9,9,9,-1
D#,3,10,10,10,-1
E,4,11,11,11,-1
F,5,0,0,0,-1
F#,6,1,1,1,-1
G,7,2,2,2,-1
G#,8,3,3,3,-1
A,9,4,4,4,-1
A#,10,5,5,5,-1
B,11,6,6,6,-1
cm,0,7,7,7,-1
c#m,1,8,8,8,-1
dm,2,9,9,9,-1
d#m,3,10,10,10,-1
em,4,11,11,11,-1
fm,5,0,0,0,-1
f#m,6,1,1,1,-1
gm,7,2,2,2,-1
g#m,8,3,3,3,-1
am,9,4,4,4,-1
a#m,10,5,5,5,-1
bm,11,6,6,6,-1
C,4,0,0,0,-1
C#,5,1,1,1,-1
D,6,2,2,2,-1
D#,7,3,3,3,-1
E,8,4,4,4,-1
F,9,5,5,5,-1
F#,10,6,6,6,-1
G,11,7,7,7,-1
G#,0,8,8,8,-1
A,1,9,9,9,-1
A#,2,10,10,10,-1
B,3,11,11,11,-1
cm,3,0,0,0,-1
c#m,4,1,1,1,-1
dm,5,2,2,2,-1
d#m,6,3,3,3,-1
em,7,4,4,4,-1
fm,8,5,5,5,-1
f#m,9,6,6,6,-1
gm,10,7,7,7,-1
g#m,11,8,8,8,-1
am,0,9,9,9,-1
a#m,1,10,10,10,-1
bm,2,11,11,11,-1
C,4,0,0,4,-1
C#,5,1,1,5,-1
D,6,2,2,6,-1
D#,7,3,3,7,-1
E,8,4,4,8,-1
F,9,5,5,9,-1
F#,10,6,6,10,-1
G,11,7,7,11,-1
G#,0,8,8,0,-1
A,1,9,9,1,-1
A#,2,10,10,2,-1
B,3,11,11,3,-1
cm,3,0,0,3,-1
c#m,4,1,1,4,-1
dm,5,2,2,5,-1
d#m,6,3,3,6,-1
em,7,4,4,7,-1
fm,8,5,5,8,-1
f#m,9,6,6,9,-1
gm,10,7,7,10,-1
g#m,11,8,8,11,-1
am,0,9,9,0,-1
a#m,1,10,10,1,-1
bm,2,11,11,2,-1
C,4,0,0,7,-1
C#,5,1,1,8,-1
D,6,2,2,9,-1
D#,7,3,3,10,-1
E,8,4,4,11,-1
F,9,5,5,0,-1
F#,10,6,6,1,-1
G,11,7,7,2,-1
G#,0,8,8,3,-1
A,1,9,9,4,-1
A#,2,10,10,5,-1
B,3,11,11,6,-1
cm,3,0,0,7,-1
c#m,4,1,1,8,-1
dm,5,2,2,9,-1
d#m,6,3,3,10,-1
em,7,4,4,11,-1
fm,8,5,5,0,-1
f#m,9,6,6,1,-1
gm,10,7,7,2,-1
g#m,11,8,8,3,-1
am,0,9,9,4,-1
a#m,1,10,10,5,-1
bm,2,11,11,6,-1
C,4,0,4,0,-1
C#,5,1,5,1,-1
D,6,2,6,2,-1
D#,7,3,7,3,-1
E,8,4,8,4,-1
F,9,5,9,5,-1
F#,10,6,10,6,-1
G,11,7,11,7,-1
G#,0,8,0,8,-1
A,1,9,1,9,-1
A#,2,10,2,10,-1
B,3,11,3,11,-1
cm,3,0,3,0,-1
c#m,4,1,4,1,-1
dm,5,2,5,2,-1
d#m,6,3,6,3,-1
em,7,4,7,4,-1
fm,8,5,8,5,-1
f#m,9,6,9,6,-1
gm,10,7,10,7,-1
g#m,11,8,11,8,-1
am,0,9,0,9,-1
a#m,1,10,1,10,-1
bm,2,11,2,11,-1
C,4,0,4,4,-1
C#,5,1,5,5,-1
D,6,2,6,6,-1
D#,7,3,7,7,-1
E,8,4,8,8,-1
F,9,5,9,9,-1
F#,10,6,10,10,-1
G,11,7,11,11,-1
G#,0,8,0,0,-1
A,1,9,1,1,-1
A#,2,10,2,2,-1
B,3,11,3,3,-1
cm,3,0,3,3,-1
c#m,4,1,4,4,-1
dm,5,2,5,5,-1
d#m,6,3,6,6,-1
em,7,4,7,7,-1
fm,8,5,8,8,-1
f#m,9,6,9,9,-1
gm,10,7,10,10,-1
g#m,11,8,11,11,-1
am,0,9,0,0,-1
a#m,1,10,1,1,-1
bm,2,11,2,2,-1
C,4,0,4,7,-1
C#,5,1,5,8,-1
D,6,2,6,9,-1
D#,7,3,7,10,-1
E,8,4,8,11,-1
F,9,5,9,0,-1
F#,10,6,10,1,-1
G,11,7,11,2,-1
G#,0,8,0,3,-1
A,1,9,1,4,-1
A#,2,10,2,5,-1
B,3,11,3,6,-1
cm,3,0,3,7,-1
c#m,4,1,4,8,-1
dm,5,2,5,9,-1
d#m,6,3,6,10,-1
em,7,4,7,11,-1
fm,8,5,8,0,-1
f#m,9,6,9,1,-1
gm,10,7,10,2,-1
g#m,11,8,11,3,-1
am,0,9,0,4,-1
a#m,1,10,1,5,-1
bm,2,11,2,6,-1
C,4,0,7,0,-1
C#,5,1,8,1,-1
D,6,2,9,2,-1
D#,7,3,10,3,-1
E,8,4,11,4,-1
F,9,5,0,5,-1
F#,10,6,1,6,-1
G,11,7,2,7,-1
G#,0,8,3,8,-1
A,1,9,4,9,-1
A#,2,10,5,10,-1
B,3,11,6,11,-1
cm,3,0,7,0,-1
c#m,4,1,8,1,-1
dm,5,2,9,2,-1
d#m,6,3,10,3,-1
em,7,4,11,4,-1
fm,8,5,0,5,-1
f#m,9,6,1,6,-1
gm,10,7,2,7,-1
g#m,11,8,3,8,-1
am,0,9,4,9,-1
a#m,1,10,5,10,-1
bm,2,11,6,11,-1
C,4,0,7,4,-1
C#,5,1,8,5,-1
D,6,2,9,6,-1
D#,7,3,10,7,-1
E,8,4,11,8,-1
F,9,5,0,9,-1
F#,10,6,1,10,-1
G,11,7,2,11,-1
G#,0,8,3,0,-1
A,1,9,4,1,-1
A#,2,10,5,2,-1
B,3,11,6,3,-1
cm,3,0,7,3,-1
c#m,4,1,8,4,-1
dm,5,2,9,5,-1
d#m,6,3,10,6,-1
em,7,4,11,7,-1
fm,8,5,0,8,-1
f#m,9,6,1,9,-1
gm,10,7,2,10,-1
g#m,11,8,3,11,-1
am,0,9,4,0,-1
a#m,1,10,5,1,-1
bm,2,11,6,2,-1
C,4,0,7,7,-1
C#,5,1,8,8,-1
D,6,2,9,9,-1
D#,7,3,10,10,-1
E,8,4,11,11,-1
F,9,5,0,0,-1
F#,10,6,1,1,-1
G,11,7,2,2,-1
G#,0,8,3,3,-1
A,1,9,4,4,-1
A#,2,10,5,5,-1
B,3,11,6,6,-1
cm,3,0,7,7,-1
c#m,4,1,8,8,-1
dm,5,2,9,9,-1
d#m,6,3,10,10,-1
em,7,4,11,11,-1
fm,8,5,0,0,-1
f#m,9,6,1,1,-1
gm,10,7,2,2,-1
g#m,11,8,3,3,-1
am,0,9,4,4,-1
a#m,1,10,5,5,-1
bm,2,11,6,6,-1
C,4,4,0,0,-1
C#,5,5,1,1,-1
D,6,6,2,2,-1
D#,7,7,3,3,-1
E,8,8,4,4,-1
F,9,9,5,5,-1
F#,10,10,6,6,-1
G,11,11,7,7,-1
G#,0,0,8,8,-1
A,1,1,9,9,-1
A#,2,2,10,10,-1
B,3,3,11,11,-1
cm,3,3,0,0,-1
c#m,4,4,1,1,-1
dm,5,5,2,2,-1
d#m,6,6,3,3,-1
em,7,7,4,4,-1
fm,8,8,5,5,-1
f#m,9,9,6,6,-1
gm,10,10,7,7,-1
g#m,11,11,8,8,-1
am,0,0,9,9,-1
a#m,1,1,10,10,-1
bm,2,2,11,11,-1
C,4,4,0,4,-1
C#,5,5,1,5,-1
D,6,6,2,6,-1
D#,7,7,3,7,-1
E,8,8,4,8,-1
F,9,9,5,9,-1
F#,10,10,6,10,-1
G,11,11,7,11,-1
G#,0,0,8,0,-1
A,1,1,9,1,-1
A#,2,2,10,2,-1
B,3,3,11,3,-1
cm,3,3,0,3,-1
c#m,4,4,1,4,-1
dm,5,5,2,5,-1
d#m,6,6,3,6,-1
em,7,7,4,7,-1
fm,8,8,5,8,-1
f#m,9,9,6,9,-1
gm,10,10,7,10,-1
g#m,11,11,8,11,-1
am,0,0,9,0,-1
a#m,1,1,10,1,-1
bm,2,2,11,2,-1
C,4,4,0,7,-1
C#,5,5,1,8,-1
D,6,6,2,9,-1
D#,7,7,3,10,-1
E,8,8,4,11,-1
F,9,9,5,0,-1
F#,10,10,6,1,-1
G,11,11,7,2,-1
G#,0,0,8,3,-1
A,1,1,9,4,-1
A#,2,2,10,5,-1
B,3,3,11,6,-1
cm,3,3,0,7,-1
c#m,4,4,1,8,-1
dm,5,5,2,9,-1
d#m,6,6,3,10,-1
em,7,7,4,11,-1
fm,8,8,5,0,-1
f#m,9,9,6,1,-1
gm,10,10,7,2,-1
g#m,11,11,8,3,-1
am,0,0,9,4,-1
a#m,1,1,10,5,-1
bm,2,2,11,6,-1
C,4,4,4,0,-1
C#,5,5,5,1,-1
D,6,6,6,2,-1
D#,7,7,7,3,-1
